code,name,sector,domain
CBA,Commonwealth Bank of Australia,Financial Services,commbank.com.au
CSL,CSL Limited,Healthcare,csl.com.au
BHP,BHP Group Limited,Basic Materials,bhp.com
WBC,Westpac Banking Corporation,Financial Services,westpac.com.au
NAB,National Australia Bank Limited,Financial Services,nab.com.au
ANZ,ANZ Group Holdings Limited,Financial Services,anz.com.au
MQG,Macquarie Group Limited,Financial Services,macquarie.com.au
WES,Wesfarmers Limited,Consumer Cyclical,wesfarmers.com.au
WOW,Woolworths Group Limited,Consumer Defensive,woolworthsgroup.com.au
TLS,Telstra Group Limited,Communication Services,telstra.com.au
TCL,Transurban Group,Industrials,transurban.com
RIO,Rio Tinto Group,Basic Materials,riotinto.com
FMG,Fortescue Ltd,Basic Materials,fortescue.com
WPL,Woodside Petroleum,Energy,woodside.com
GMG,Goodman Group,Real Estate,goodman.com
NCM,Newcrest Mining,Materials,ncm.com
ALL,Aristocrat Leisure Limited,Consumer Cyclical,aristocrat.com
SCG,Scentre Group,Real Estate,scentregroup.com
COL,Coles Group Limited,Consumer Defensive,colesgroup.com.au
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,syd.com.au
BXB,Brambles Limited,Industrials,brambles.com
IAG,Insurance Australia Group Limited,Financial Services,iag.com.au
STO,Santos Limited,Energy,santos.com
QBE,QBE Insurance Group Limited,Financial Services,qbe.com
SUN,Suncorp Group Limited,Financial Services,suncorpgroup.com.au
AMC,Amcor plc,Consumer Cyclical,amcor.com
ASX,ASX Limited,Financial Services,asx.com.au
ORG,Origin Energy Limited,Utilities,originenergy.com.au
RHC,Ramsay Health Care Limited,Healthcare,ramsayhealth.com
SHL,Sonic Healthcare Limited,Healthcare,sonichealthcare.com
REA,REA Group Limited,Communication Services,rea-group.com
S32,South32 Limited,Basic Materials,south32.net
AGL,AGL Energy Limited,Utilities,agl.com.au
APA,APA Group,Utilities,apa.com.au
COH,Cochlear Limited,Healthcare,cochlear.com
DXS,DEXUS,Real Estate,dexus.com
MGR,Mirvac Group,Real Estate,mirvac.com
JHX,James Hardie Industries plc,Basic Materials,jameshardie.com.au
FPH,Fisher & Paykel Healthcare Corporation Limited,Healthcare,fphcare.com
TWE,Treasury Wine Estates Limited,Consumer Defensive,tweglobal.com
XRO,Xero Limited,Technology,xero.com
OSH,Oil Search Limited 10 Toea,Energy,osh.com.au
SGP,Stockland,Real Estate,stockland.com.au
GPT,The GPT Group,Real Estate,gpt.com.au
CIM,Cimic Group Limited,Industrials,cimic.com.au
QAN,Qantas Airways Limited,Industrials,qantas.com
A2M,The a2 Milk Company Limited,Consumer Defensive,thea2milkcompany.com
MFG,Magellan Financial Group Limited,Financial Services,magellangroup.com.au
AIA,Auckland International Airport Limited,Industrials,aucklandairport.co.nz
AZJ,Aurizon Holdings Limited,Industrials,aurizon.com.au
LLC,Lendlease Group,Real Estate,lendlease.com
VCX,Vicinity Centres,Real Estate,vicinity.com.au
RMD,ResMed Inc.,Healthcare,resmed.com.au
TAH,Tabcorp Holdings Limited,Consumer Cyclical,tabcorp.com.au
CPU,Computershare Limited,Financial Services,computershare.com
MPL,Medibank Private Limited,Financial Services,medibank.com.au
CTX,Caltex Australia,Energy,ctx.com
ORI,Orica Limited,Basic Materials,orica.com
NST,Northern Star Resources Limited,Basic Materials,nsrltd.com
CWN,Crown Resorts Limited,Consumer Discretionary,crownresorts.com.au
CCL,Coca-Cola Amatil,Consumer Staples,ccl.com.au
WOR,Worley Limited,Energy,worley.com
SEK,SEEK Limited,Communication Services,seek.com.au
APT,Afterpay Limited,Information Technology,afterpay.com.au
BSL,BlueScope Steel Limited,Basic Materials,bluescope.com
SPK,Spark New Zealand Limited,Communication Services,sparknz.co.nz
WTC,WiseTech Global Limited,Technology,wisetechglobal.com
ALX,Atlas Arteria Limited,Industrials,atlasarteria.com
AWC,Alumina Limited,Materials,alumina.com
SVW,Seven Group Holdings,Industrials,sghl.com.au
AMP,AMP Limited,Financial Services,amp.com.au
